type,year,condition,length_ft,beam_ft,hullMaterial,fuelType,numEngines,totalHP,price
1,2011,2,32,16.13,1,3,2,0,79997
1,2019,1,24,9,1,3,1,0,59876
1,2020,1,24,8.5,1,3,1,0,194372
1,2000,2,29,16.13,1,3,2,0,36900
1,2003,2,18,16.13,1,3,1,0,10995
1,2019,1,24,9,1,3,1,0,57236
1,2013,2,25,8.5,1,1,1,0,49995
1,2008,2,27,16.13,1,3,1,0,31900
1,2003,2,21,16.13,1,3,1,0,22995
1,2019,1,29,16.13,1,3,1,0,138761
1,1990,2,22,8,1,3,1,0,9995
1,1992,2,40,13,1,1,2,0,44995
1,2014,2,33,8,1,1,2,0,217000
1,2005,2,22,16.13,1,3,1,0,32995
1,2020,1,22,8.5,1,3,1,0,184955
1,2019,1,23,8.6,1,3,1,0,82479
1,2019,1,20,9,1,3,1,0,44239
1,2017,1,24,16.13,1,3,1,0,63128
1,1999,2,25,8.5,1,3,1,0,21900
1,1996,2,30,10.5,1,1,2,0,24995
1,2017,2,18,16.13,1,1,1,0,27995
1,1995,2,24,8.5,1,1,1,0,15250
1,1986,2,39,13.92,1,3,2,0,29995
1,2014,2,20,8.25,1,1,1,0,33995
1,2020,1,19,7.92,1,3,1,0,43043
1,2019,1,22,9.5,1,3,1,0,159000
1,2016,2,23,8.5,1,1,1,0,29999
1,2020,1,22,8.5,1,3,1,0,178935
1,2005,2,22,16.13,1,3,1,0,13995
1,1999,2,18,7.5,1,3,1,0,8995
1,2019,1,20,8.5,1,1,1,0,23713
1,2019,1,24,9,1,3,2,0,63465
1,1997,2,40,16.13,1,3,2,0,110000
1,2019,1,21,9.84,1,3,1,0,56002
1,2016,2,16,16.13,1,3,1,0,18995
1,2006,2,25,16.13,1,3,1,0,19995
1,2019,1,20,8.17,1,3,1,0,116881
1,2001,2,38,16.13,1,3,2,0,104900
1,2020,1,22,8.33,1,1,1,0,56469
1,2014,2,21,8.25,1,1,1,0,47000
1,2008,2,33,11,1,1,2,0,68995
1,1999,2,18,16.13,1,3,1,0,7995
1,2019,1,23,8.5,1,3,1,0,193903
1,2004,2,19,7.67,1,1,1,0,25900
1,2019,1,22,8.5,1,3,1,0,120941
1,1998,2,29,10.17,1,1,2,0,44900
1,2016,2,23,8.5,1,3,1,0,29999
1,2013,2,17,16.13,1,1,1,0,14500
1,2019,1,20,8.5,1,3,1,0,21491
1,2019,2,18,7.58,1,1,1,0,34995
1,1999,2,21,8.5,1,3,1,0,7995
1,2005,2,23,8.5,1,1,1,0,39900
1,2006,2,17,16.13,1,3,1,0,9995
1,2008,2,33,16.13,1,1,2,0,129000
1,2017,2,16,16.13,1,3,1,0,18995
1,2020,1,20,8,1,3,1,0,85443
1,2014,2,18,16.13,1,1,1,0,26995
