2020,42,13.67,2,0,953350
2011,25,16.13,1,0,24995
2019,20,102,1,0,81166
2019,22,8.17,1,0,86217
1996,17,16.13,1,0,5500
1999,40,16.13,2,0,189900
2007,44,14.25,2,0,329900
2004,29,16.13,2,0,52900
2006,24,16.13,1,0,42995
1990,36,16.13,2,0,29995
2019,24,9,2,0,67394
2008,31,9.42,2,0,69900
2019,21,9,1,0,63585
2019,18,7.5,1,0,38528
2020,35,11.5,2,0,454597
2018,20,8.5,1,0,31195
2019,22,9.84,1,0,82942
1996,36,13.67,2,0,64000
2020,20,8.33,1,0,49321
2012,23,16.13,1,0,22995
1988,30,16.13,2,0,11900
2019,22,16.13,1,0,35900
2002,21,16.13,1,0,22995
2011,24,16.13,2,0,27995
2003,44,13.92,2,0,199999
2020,22,8.42,1,0,69646
2018,38,13.12,3,0,767770
2004,28,9,2,0,59000
2019,24,9,1,0,67179
1999,18,16.13,1,0,7995
2010,23,8.42,1,0,29900
2020,22,8.42,1,0,69646
2007,17,8,1,0,9995
2019,35,11.5,2,0,355975
2020,50,15,2,0,1507940
2017,18,16.13,1,0,34995
2019,18,8.4,1,0,35696
2003,21,16.13,1,0,12250
1998,18,16.13,1,0,8900
2019,16,7,1,0,28621
2020,25,8.33,2,0,85993
2019,20,8,1,0,45447
1994,28,10,2,0,14999
1989,20,7.83,1,0,8500
2019,22,8.17,1,0,81982
2019,22,9,1,0,51722
2017,20,16.13,1,0,19999
2020,20,8.33,1,0,49321
1988,31,11,2,0,19995
1999,18,16.13,1,0,5995
2017,16,16.13,1,0,15995
1987,38,14,2,0,34900
2005,31,16.13,2,0,74900
2019,24,9,1,0,60620
2019,19,8.42,1,0,28995
1988,26,16.13,2,0,16995
2019,22,8.5,1,0,29431
2005,18,16.13,1,0,10995
2004,26,16.13,1,0,15995
1996,29,16.13,1,0,29999
2000,38,13,2,0,109900
2004,40,14.33,2,0,179995
2000,19,16.13,1,0,8995
2007,18,16.13,1,0,14900
1998,20,8.33,1,0,10495
2019,19,8,1,0,49882
2019,21,9.84,2,0,47932
1980,24,16.13,1,0,9995
2020,19,7.92,1,0,40914
2019,24,9,2,0,67394
2019,24,9,2,0,65276
2011,20,16.13,1,0,28900
1995,33,16.13,2,0,48500
2020,22,8.42,1,0,69646
2019,23,9,1,0,70010
1989,32,11.42,2,0,27995
2005,21,16.13,1,0,19999
2019,22,9,1,0,49794
2019,22,8.5,1,0,41971
1999,34,16.13,2,0,69900
2000,22,7.67,1,0,19995
2015,19,8.17,1,0,43995
2009,44,16.13,2,0,269995
2005,29,8.25,1,0,59900
1997,30,10.17,2,0,22995
2003,22,8.42,1,0,19995
1984,38,14,2,0,41000
2019,20,9,1,0,44821
2011,28,8.83,1,0,82500
2011,32,16.13,2,0,79997
2019,24,9,1,0,59876
2020,24,8.5,1,0,194372
2000,29,16.13,2,0,36900
2003,18,16.13,1,0,10995
2019,24,9,1,0,57236
2013,25,8.5,1,0,49995
2008,27,16.13,1,0,31900
2003,21,16.13,1,0,22995
2019,29,16.13,1,0,138761
1990,22,8,1,0,9995
1992,40,13,2,0,44995
2014,33,8,2,0,217000
2005,22,16.13,1,0,32995
2020,22,8.5,1,0,184955
2019,23,8.6,1,0,82479
2019,20,9,1,0,44239
2017,24,16.13,1,0,63128
1999,25,8.5,1,0,21900
1996,30,10.5,2,0,24995
2017,18,16.13,1,0,27995
1995,24,8.5,1,0,15250
1986,39,13.92,2,0,29995
2014,20,8.25,1,0,33995
2020,19,7.92,1,0,43043
2019,22,9.5,1,0,159000
2016,23,8.5,1,0,29999
2020,22,8.5,1,0,178935
2005,22,16.13,1,0,13995
1999,18,7.5,1,0,8995
2019,20,8.5,1,0,23713
2019,24,9,2,0,63465
1997,40,16.13,2,0,110000
2019,21,9.84,1,0,56002
2016,16,16.13,1,0,18995
2006,25,16.13,1,0,19995
2019,20,8.17,1,0,116881
2001,38,16.13,2,0,104900
2020,22,8.33,1,0,56469
2014,21,8.25,1,0,47000
2008,33,11,2,0,68995
1999,18,16.13,1,0,7995
2019,23,8.5,1,0,193903
2004,19,7.67,1,0,25900
2019,22,8.5,1,0,120941
